"customer_id","customer","invoice_month","total_spendings","monthly_customer_rank"
15,"Jennifer Peterson","2024-04","5.94","3"
30,"Edward Francis","2024-05","13.86","1"
59,"Puja Srivastava","2024-05","8.91","2"
53,"Phil Hughes","2024-05","5.94","3"
9,"Kara Nielsen","2024-06","13.86","1"
38,"Niklas Schröder","2024-06","8.91","2"
32,"Aaron Mitchell","2024-06","5.94","3"
47,"Lucas Mancini","2024-07","13.86","1"
17,"Jack Smith","2024-07","10.91","2"
11,"Alexandre Rocha","2024-07","5.94","3"
26,"Richard Cunningham","2024-08","23.86","1"
55,"Mark Taylor","2024-08","8.91","2"
49,"Stanisław Wójcik","2024-08","5.94","3"
5,"František Wichterlová","2024-09","16.86","1"
28,"Julia Barnett","2024-09","11.94","2"
24,"Frank Ralston","2024-09","7.96","3"
43,"Isabelle Mercier","2024-10","16.86","1"
34,"João Fernandes","2024-10","10.91","2"
7,"Astrid Gruber","2024-10","5.94","3"
22,"Heather Leacock","2024-11","13.86","1"
13,"Fernanda Ramos","2024-11","8.91","2"
45,"Ladislav Kovács","2024-11","5.94","3"
1,"Luís Gonçalves","2024-12","13.86","1"
51,"Joakim Johansson","2024-12","8.91","2"
24,"Frank Ralston","2024-12","5.94","3"
39,"Camille Bernard","2025-01","13.86","1"
30,"Edward Francis","2025-01","8.91","2"
3,"François Tremblay","2025-01","5.94","3"
18,"Michelle Brooks","2025-02","13.86","1"
9,"Kara Nielsen","2025-02","8.91","2"
35,"Madalena Sampaio","2025-02","1.98","3"
33,"Ellie Sullivan","2025-02","1.98","3"
56,"Diego Gutiérrez","2025-03","13.86","1"
47,"Lucas Mancini","2025-03","8.91","2"
41,"Marc Dubois","2025-03","5.94","3"
35,"Madalena Sampaio","2025-04","13.86","1"
26,"Richard Cunningham","2025-04","8.91","2"
20,"Dan Miller","2025-04","5.94","3"
14,"Mark Philips","2025-05","13.86","1"
5,"František Wichterlová","2025-05","8.91","2"
58,"Manoj Pareek","2025-05","5.94","3"
52,"Emma Jones","2025-06","13.86","1"
43,"Isabelle Mercier","2025-06","8.91","2"
37,"Fynn Zimmermann","2025-06","5.94","3"
31,"Martha Silk","2025-07","13.86","1"
22,"Heather Leacock","2025-07","8.91","2"
16,"Frank Harris","2025-07","5.94","3"
10,"Eduardo Martins","2025-08","13.86","1"
1,"Luís Gonçalves","2025-08","8.91","2"
54,"Steve Murray","2025-08","5.94","3"
48,"Johannes Van der Berg","2025-09","13.86","1"
39,"Camille Bernard","2025-09","8.91","2"
33,"Ellie Sullivan","2025-09","5.94","3"
27,"Patrick Gray","2025-10","13.86","1"
18,"Michelle Brooks","2025-10","8.91","2"
12,"Roberto Almeida","2025-10","5.94","3"
6,"Helena Holý","2025-11","25.86","1"
56,"Diego Gutiérrez","2025-11","8.91","2"
50,"Enrique Muñoz","2025-11","5.94","3"
44,"Terhi Hämäläinen","2025-12","13.86","1"
35,"Madalena Sampaio","2025-12","8.91","2"
29,"Robert Brown","2025-12","5.94","3"
