"customer_id","customer_name","first_invoice","last_invoice","time_between_first_and_last_invoice","number_of_invoices"
56,"Diego Gutiérrez","2022-06-12 00:00:00","2025-11-08 00:00:00","{""days"":1245}","7"
33,"Ellie Sullivan","2021-04-22 00:00:00","2025-09-04 00:00:00","{""days"":1596}","7"
10,"Eduardo Martins","2021-04-09 00:00:00","2025-08-12 00:00:00","{""days"":1586}","7"
54,"Steve Murray","2021-03-22 00:00:00","2025-08-04 00:00:00","{""days"":1596}","7"
43,"Isabelle Mercier","2022-01-08 00:00:00","2025-06-06 00:00:00","{""days"":1245}","7"
48,"Johannes Van der Berg","2021-05-10 00:00:00","2025-09-12 00:00:00","{""days"":1586}","7"
27,"Patrick Gray","2021-06-10 00:00:00","2025-10-13 00:00:00","{""days"":1586}","7"
21,"Kathy Chase","2021-03-05 00:00:00","2025-12-04 00:00:00","{""days"":1735}","7"
15,"Jennifer Peterson","2021-06-05 00:00:00","2024-12-15 00:00:00","{""days"":1289}","7"
32,"Aaron Mitchell","2021-08-06 00:00:00","2025-02-15 00:00:00","{""days"":1289}","7"
38,"Niklas Schröder","2021-02-01 00:00:00","2024-06-30 00:00:00","{""days"":1245}","7"
7,"Astrid Gruber","2021-12-08 00:00:00","2025-06-19 00:00:00","{""days"":1289}","7"
51,"Joakim Johansson","2021-07-06 00:00:00","2024-12-02 00:00:00","{""days"":1245}","7"
14,"Mark Philips","2021-01-06 00:00:00","2025-05-11 00:00:00","{""days"":1586}","7"
9,"Kara Nielsen","2021-09-06 00:00:00","2025-02-02 00:00:00","{""days"":1245}","7"
2,"Leonie Köhler","2021-01-01 00:00:00","2024-07-13 00:00:00","{""days"":1289}","7"
28,"Julia Barnett","2021-11-07 00:00:00","2025-05-19 00:00:00","{""days"":1289}","7"
59,"Puja Srivastava","2021-04-05 00:00:00","2024-05-30 00:00:00","{""days"":1151}","6"
1,"Luís Gonçalves","2022-03-11 00:00:00","2025-08-07 00:00:00","{""days"":1245}","7"
11,"Alexandre Rocha","2021-09-06 00:00:00","2025-03-18 00:00:00","{""days"":1289}","7"
45,"Ladislav Kovács","2022-01-08 00:00:00","2025-07-20 00:00:00","{""days"":1289}","7"
4,"Bjørn Hansen","2021-01-02 00:00:00","2025-10-03 00:00:00","{""days"":1735}","7"
25,"Victor Stevens","2021-03-06 00:00:00","2025-12-05 00:00:00","{""days"":1735}","7"
20,"Dan Miller","2022-05-12 00:00:00","2025-11-21 00:00:00","{""days"":1289}","7"
35,"Madalena Sampaio","2022-07-13 00:00:00","2025-12-09 00:00:00","{""days"":1245}","7"
52,"Emma Jones","2021-02-06 00:00:00","2025-06-11 00:00:00","{""days"":1586}","7"
12,"Roberto Almeida","2021-05-23 00:00:00","2025-10-05 00:00:00","{""days"":1596}","7"
42,"Wyatt Girard","2021-02-02 00:00:00","2025-11-03 00:00:00","{""days"":1735}","7"
8,"Daan Peeters","2021-01-03 00:00:00","2025-10-04 00:00:00","{""days"":1735}","7"
22,"Heather Leacock","2022-02-08 00:00:00","2025-07-07 00:00:00","{""days"":1245}","7"
23,"John Gordon","2021-01-11 00:00:00","2025-12-04 00:00:00","{""days"":1788}","7"
44,"Terhi Hämäläinen","2021-08-11 00:00:00","2025-12-14 00:00:00","{""days"":1586}","7"
30,"Edward Francis","2021-08-06 00:00:00","2025-01-02 00:00:00","{""days"":1245}","7"
